,links,names,ratings,price for one,cuisine
77,https://www.zomato.com/visakhapatnam/pastry-chef-pendurthi-vizag/order,Pastry Chef,4.3,₹200 for one,"Bakery, Desserts, Fast Food, Street Food, Chinese, Pizza, Beverages"
78,https://www.zomato.com/visakhapatnam/hotel-arina-1-gajuwaka-vizag/order,Hotel Arina,3.7,₹200 for one,"Continental, Fast Food, North Indian, Chinese, Biryani, Seafood, Desserts, Beverages"
79,https://www.zomato.com/visakhapatnam/red-velvet-marripalem-vizag/order,Red Velvet,4.2,₹200 for one,"Bakery, Desserts, Chinese, Sichuan, Fast Food, Beverages"
80,https://www.zomato.com/visakhapatnam/swagrama-food-court-madhavadhara-vizag/order,Swagrama Food Court,3.6,₹200 for one,"North Indian, Biryani, Chinese, Sichuan, Andhra"
81,https://www.zomato.com/visakhapatnam/cake-walk-bakery-gopalapatnam-vizag/order,Cake Walk Bakery,4.2,₹200 for one,"Bakery, Desserts, Chinese, Fast Food"
82,https://www.zomato.com/visakhapatnam/the-arabian-kitchen-kancharapalem-vizag/order,The Arabian Kitchen,3.4,₹200 for one,"Mandi, North Indian, Chinese, Biryani"
83,https://www.zomato.com/visakhapatnam/creme-shakes-pendurthi-vizag/order,Creme Shakes,4.4,₹200 for one,"Desserts, Waffle, Ice Cream, Shake, Beverages"
84,https://www.zomato.com/visakhapatnam/jagadhamba-family-restaurant-marripalem-vizag/order,Jagadhamba Family Restaurant,3.4,₹200 for one,"Chinese, Fast Food, Rolls"
85,https://www.zomato.com/visakhapatnam/mr-idly-pendurthi-vizag/order,Mr. Idly,3.9,₹200 for one,South Indian
86,https://www.zomato.com/visakhapatnam/sarvani-sweets-madhavadhara-vizag/order,Sarvani Sweets,4.0,₹200 for one,Mithai
87,https://www.zomato.com/visakhapatnam/jai-ganesh-maen-restaurant-gopalapatnam-vizag/order,Jai Ganesh Maen Restaurant,4.1,₹200 for one,South Indian
88,https://www.zomato.com/visakhapatnam/five-star-koli-hut-pendurthi-vizag/order,Five Star Koli Hut,4.2,₹200 for one,"Fast Food, Burger, Rolls"
89,https://www.zomato.com/visakhapatnam/wonton-momos-madhavadhara-vizag/order,Wonton Momos,4.0,₹100 for one,"Fast Food, Momos, Rolls"
90,https://www.zomato.com/visakhapatnam/alekhya-palav-point-pendurthi-vizag/order,Alekhya Palav Point,3.7,₹100 for one,"Biryani, Chinese, Mughlai, North Indian, Seafood, Fast Food, Beverages"
91,https://www.zomato.com/visakhapatnam/sbm-mandi-restaurant-nad-junction-vizag/order,SBM Mandi Restaurant,3.8,₹100 for one,"Mandi, North Indian, Mughlai, Kebab, Chinese, Biryani, Desserts, Beverages"
92,https://www.zomato.com/visakhapatnam/five-star-koli-hut-kancharapalem-vizag/order,Five Star Koli Hut,3.8,₹100 for one,"Fast Food, Burger, Rolls, Kebab"
93,https://www.zomato.com/visakhapatnam/express-eats-vepagunta-vizag/order,Express Eats,3.9,₹100 for one,"Chinese, Biryani, Seafood, North Indian, Beverages"
94,https://www.zomato.com/visakhapatnam/pastry-chef-nad-junction-vizag/order,Pastry Chef,4.5,₹100 for one,"Bakery, Desserts, Chinese, Pizza, Sandwich, Fast Food, Sichuan, Beverages"
95,https://www.zomato.com/visakhapatnam/pizza-mania-nathayyapalem-vizag/order,Pizza Mania,3.9,₹100 for one,"Pizza, Fast Food"
96,https://www.zomato.com/visakhapatnam/samosa-singh-gopalapatnam-vizag/order,Samosa Singh,3.4,₹100 for one,Street Food
97,https://www.zomato.com/visakhapatnam/b-tech-tiffin-wala-simhachalam-vizag/order,B.Tech Tiffin Wala,4.1,₹100 for one,South Indian
98,https://www.zomato.com/visakhapatnam/sri-venkateswara-biriyani-point-gopalapatnam-vizag/order,Sri Venkateswara Biriyani Point,3.8,₹100 for one,"Biryani, North Indian"
99,https://www.zomato.com/visakhapatnam/cfc-crispys-1-pendurthi-vizag/order,CFC-Crispy's,3.9,₹100 for one,"Fast Food, Burger, Pizza, Sandwich, Shake, Beverages"
100,https://www.zomato.com/visakhapatnam/the-biryani-box-pendurthi-vizag/order,The Biryani Box,4.0,₹100 for one,"Biryani, Andhra, North Indian, Chinese, Seafood, Kebab"
101,https://www.zomato.com/visakhapatnam/best-bakers-madhavadhara-vizag/order,Best Bakers,3.5,₹100 for one,"Bakery, Desserts, Pizza, Fast Food, Street Food"
102,https://www.zomato.com/visakhapatnam/robbery-house-nad-junction-vizag/order,Robbery House,4.1,₹100 for one,"Pizza, Fast Food, Street Food, Desserts, Ice Cream, Shake, Beverages"
103,https://www.zomato.com/visakhapatnam/crispys-fried-chicken-nad-junction-vizag/order,Crispy's Fried Chicken,4.1,₹100 for one,"Fast Food, Burger, Beverages"
104,https://www.zomato.com/visakhapatnam/leo-darbar-a-new-space-of-taste-pendurthi-vizag/order,Leo Darbar ( A New Space Of Taste ),4.2,₹100 for one,"North Indian, South Indian, Mughlai, Chinese, Biryani"
105,https://www.zomato.com/visakhapatnam/runway-fast-food-and-biryani-pendurthi-vizag/order,Runway Fast Food And Biryani,4.0,₹100 for one,"Chinese, Biryani"
106,https://www.zomato.com/visakhapatnam/creme-castle-1-pendurthi-vizag/order,Creme Castle,4.2,₹100 for one,"Ice Cream, Desserts"
107,https://www.zomato.com/visakhapatnam/joshmithas-sukh-sagar-restaurant-nad-junction-vizag/order,Joshmitha's Sukh-Sagar Restaurant,4.2,₹100 for one,"Chinese, North Indian, Sichuan, Rolls"
108,https://www.zomato.com/visakhapatnam/kolkata-famous-egg-rolls-kancharapalem-vizag/order,Kolkata Famous Egg Rolls,3.4,₹100 for one,"Rolls, Momos, Chinese"
109,https://www.zomato.com/visakhapatnam/chandu-sweets-nad-junction-vizag/order,Chandu Sweets,4.0,₹100 for one,"Mithai, Desserts, Street Food"
110,https://www.zomato.com/visakhapatnam/sri-gruha-laxmi-home-foods-madhavadhara-vizag/order,Sri Gruha Laxmi Home Foods,4.4,₹100 for one,"Mithai, Bakery"
111,https://www.zomato.com/visakhapatnam/the-pizza-mania-1-nad-junction-vizag/order,The Pizza Mania,3.7,₹100 for one,"Pizza, Street Food, Desserts"
112,https://www.zomato.com/visakhapatnam/new-sai-ram-parlour-vepagunta-vizag/order,New Sai Ram Parlour,3.6,₹100 for one,South Indian
113,https://www.zomato.com/visakhapatnam/fab-fusion-pendurthi-vizag/order,Fab Fusion,4.1,₹200 for one,"Fast Food, Pizza, Burger, Sandwich, Street Food, Shawarma, Shake, Beverages"
114,https://www.zomato.com/visakhapatnam/creme-berry-nad-junction-vizag/order,Creme Berry,4.0,₹200 for one,"Ice Cream, Desserts, Shake"
115,https://www.zomato.com/visakhapatnam/shero-home-food-andhra-kancharapalem-vizag/order,Shero Home Food - Andhra,3.9,₹200 for one,South Indian
116,https://www.zomato.com/visakhapatnam/chaat-galli-nad-junction-vizag/order,Chaat Galli,4.2,₹200 for one,"Street Food, North Indian"
117,https://www.zomato.com/vizag-biryani-express-food-tru/order,Vizag Biryani Express - Move on Beat the Hungry,3.6,₹200 for one,"North Indian, Chinese, Biryani, Mughlai, Seafood"
118,https://www.zomato.com/visakhapatnam/chaat-bells-madhavadhara-vizag/order,Chaat Bells,3.7,₹200 for one,Street Food
119,https://www.zomato.com/visakhapatnam/k4-carpe-diem-marripalem-vizag/order,K4 Carpe Diem,4.1,₹200 for one,"Pizza, Pasta, Fast Food, Street Food, Burger, Shake, Juices, Beverages"
120,https://www.zomato.com/visakhapatnam/sri-venkateswara-tiffins-1-gopalapatnam-vizag/order,Sri Venkateswara Tiffins,4.1,₹200 for one,South Indian
121,https://www.zomato.com/visakhapatnam/hotel-ayush-vepagunta-vizag/order,Hotel Ayush,3.7,₹200 for one,South Indian
122,https://www.zomato.com/visakhapatnam/orange-cafe-madhavadhara-vizag/order,Orange Cafe,4.1,₹200 for one,"Sandwich, Burger, Fast Food, South Indian, Ice Cream, Desserts, Shake, Beverages"
123,https://www.zomato.com/visakhapatnam/winni-cakes-more-madhavadhara-vizag/order,Winni Cakes & More,3.9,₹200 for one,"Bakery, Desserts, Pizza, Fast Food"
124,https://www.zomato.com/visakhapatnam/kitchen-on-fire-kancharapalem-vizag/order,Kitchen On Fire,3.2,₹200 for one,Biryani
125,https://www.zomato.com/visakhapatnam/road-cafe-dravidas-restaurant-vepagunta-vizag/order,Road Cafe Dravida's Restaurant,3.9,₹100 for one,South Indian
126,https://www.zomato.com/visakhapatnam/pizza-mania-madhavadhara-vizag/order,Pizza Mania,4.2,₹100 for one,Pizza
127,https://www.zomato.com/visakhapatnam/amigos-pendurthi-vizag/order,Amigos,3.3,₹100 for one,"Bakery, Fast Food, Chinese, Biryani, Sandwich, Pizza, Desserts, Beverages"
128,https://www.zomato.com/visakhapatnam/delicious-pizza-nad-junction-vizag/order,Delicious Pizza,New,₹100 for one,"Pizza, Sandwich, Rolls, Momos, Fast Food, Shake, Beverages"
129,https://www.zomato.com/visakhapatnam/kwality-walls-frozen-dessert-and-ice-cream-shop-1-madhavadhara-vizag/order,Kwality Wall's Frozen Dessert And Ice Cream Shop,4.4,₹100 for one,"Ice Cream, Desserts"
130,https://www.zomato.com/visakhapatnam/vfc-v3-fried-chicken-pendurthi-vizag/order,VFC V3 Fried Chicken,4.2,₹100 for one,"Burger, Pizza, Fast Food, Chinese, Beverages"
131,https://www.zomato.com/visakhapatnam/food-fiesta-pendurthi-vizag/order,Food Fiesta,3.6,₹100 for one,"Biryani, Fast Food, Chinese, Burger, Sandwich, Shake"
132,https://www.zomato.com/visakhapatnam/the-noodles-point-madhavadhara-vizag/order,The Noodles Point,4.1,₹100 for one,Chinese
133,https://www.zomato.com/visakhapatnam/r-k-restaurant-nad-junction-vizag/order,R K Restaurant,3.8,₹100 for one,"Andhra, North Indian, Chinese, Biryani"
134,https://www.zomato.com/visakhapatnam/trinadh-fast-foods-2-nad-junction-vizag/order,Trinadh Fast Foods,4.3,₹100 for one,"Chinese, Biryani, Rolls, Sichuan"
135,https://www.zomato.com/visakhapatnam/club-10-chicken-pendurthi-vizag/order,Club 10 Chicken,3.7,₹100 for one,"Sandwich, Chinese, Fast Food, Shake, Beverages"
136,https://www.zomato.com/visakhapatnam/ssp-food-paradise-marripalem-vizag/order,SSP Food Paradise,3.4,₹100 for one,"Fast Food, Pizza, Sandwich, Chinese, Burger, Beverages"
137,https://www.zomato.com/visakhapatnam/royal-pizzeria-nad-junction-vizag/order,Royal Pizzeria,3.8,₹300 for one,Pizza
