,links,names,ratings,price for one,cuisine
13,https://www.zomato.com/visakhapatnam/spicy-paradise-restaurant-jagadamba-junction-vizag/order,Spicy Paradise Restaurant,3.9,₹100 for one,"North Indian, South Indian, Chinese, Biryani"
14,https://www.zomato.com/visakhapatnam/new-satyam-multicuisine-restaurant-takeaway-dwaraka-nagar-vizag/order,New Satyam Multicuisine Restaurant & Takeaway,4.2,₹100 for one,"North Indian, Biryani, Andhra, Chinese, Mughlai, Sichuan"
15,https://www.zomato.com/visakhapatnam/burger-king-asilmetta-vizag/order,Burger King,4.3,₹100 for one,"Burger, Fast Food"
16,https://www.zomato.com/visakhapatnam/chutneys-diamond-park-dwaraka-nagar-vizag/order,Chutneys Diamond Park,4.4,₹100 for one,"South Indian, North Indian, Chinese, Biryani, Desserts, Beverages"
17,https://www.zomato.com/visakhapatnam/yasoddha-noodles-point-lawsons-bay-vizag/order,Yasoddha Noodles Point,4.1,₹100 for one,"Chinese, Biryani, North Indian"
18,https://www.zomato.com/visakhapatnam/subway-mvp-colony-vizag/order,Subway,4.1,₹100 for one,"Wraps, Sandwich, Fast Food, Salad, Healthy Food"
19,https://www.zomato.com/visakhapatnam/eaters-stop-dwaraka-nagar-vizag/order,Eaters Stop,4.2,₹100 for one,"South Indian, North Indian"
20,https://www.zomato.com/visakhapatnam/celebrations-restaurant-akkayyapalem-vizag/order,Celebrations Restaurant,4.3,₹100 for one,"Continental, Chinese, South Indian, Biryani, Andhra, North Indian, Kebab, Ice Cream"
21,https://www.zomato.com/visakhapatnam/pizza-hut-dwaraka-nagar-vizag/order,Pizza Hut,4.1,₹200 for one,"Pizza, Fast Food, Desserts, Beverages"
22,https://www.zomato.com/visakhapatnam/zeeshan-restaurant-apna-hyderabadi-food-jagadamba-junction-vizag/order,Zeeshan Restaurant - Apna Hyderabadi Food,3.9,₹200 for one,"Biryani, North Indian, Mughlai, Chinese, Kebab, Juices, Shake, Beverages"
23,https://www.zomato.com/visakhapatnam/bombay-restaurant-jyothee-theatre-allipuram-vizag/order,Bombay Restaurant-Jyothee Theatre,4.0,₹200 for one,"Chinese, Seafood, North Indian, Kebab, Mughlai, Biryani"
24,https://www.zomato.com/visakhapatnam/new-dhaba-city-punjab-balayya-sastri-layout-vizag/order,New Dhaba City Punjab,4.1,₹200 for one,"North Indian, Mughlai, Chinese, Biryani"
25,https://www.zomato.com/visakhapatnam/satyam-non-veg-restaurant-dwaraka-nagar-vizag/order,Satyam Non-Veg Restaurant,4.2,₹200 for one,"Biryani, North Indian, Chinese"
26,https://www.zomato.com/visakhapatnam/72-biryanis-mvp-colony-vizag/order,72 Biryani's,3.6,₹200 for one,Biryani
27,https://www.zomato.com/visakhapatnam/shree-shyam-restaurant-allipuram-vizag/order,Shree Shyam Restaurant,3.8,₹200 for one,"North Indian, Chinese"
28,https://www.zomato.com/visakhapatnam/konaseema-biryani-maddilapalem-vizag/order,Konaseema Biryani,3.7,₹200 for one,"Biryani, Chinese, Andhra"
29,https://www.zomato.com/visakhapatnam/paradise-biryani-waltair-uplands-vizag/order,Paradise Biryani,3.8,₹200 for one,"Biryani, North Indian, Kebab, Chinese, Desserts"
30,https://www.zomato.com/visakhapatnam/svs-paradise-kancharapalem-vizag/order,SVS Paradise,3.6,₹200 for one,"Chinese, Biryani, North Indian, Seafood, Beverages"
31,https://www.zomato.com/visakhapatnam/new-muntaj-biryani-balayya-sastri-layout-vizag/order,New Muntaj Biryani,3.2,₹200 for one,"Biryani, Chinese, North Indian"
32,https://www.zomato.com/visakhapatnam/new-dhaba-shere-punjab-pure-veg-restaurant-allipuram-vizag/order,New Dhaba Shere-Punjab Pure Veg Restaurant,3.5,₹200 for one,North Indian
33,https://www.zomato.com/visakhapatnam/alpha-hotel-since-1948-jagadamba-junction-vizag/order,Alpha Hotel -Since 1948,4.0,₹200 for one,"Biryani, Seafood, North Indian, Chinese"
34,https://www.zomato.com/visakhapatnam/cakezone-dwaraka-nagar-vizag/order,CakeZone,4.2,₹200 for one,"Bakery, Desserts"
35,https://www.zomato.com/visakhapatnam/new-satyam-ritz-comfort-dwaraka-nagar-vizag/order,New Satyam Ritz Comfort,4.0,₹200 for one,Biryani
36,https://www.zomato.com/visakhapatnam/hotel-diamond-alpha-biryani-madhavadhara-vizag/order,Hotel Diamond Alpha Biryani,3.8,₹200 for one,Biryani
37,https://www.zomato.com/visakhapatnam/subbaiah-gari-hotel-dondaparithy-vizag/order,Subbaiah Gari Hotel,4.4,₹200 for one,Andhra
38,https://www.zomato.com/visakhapatnam/the-spicy-venue-siripuram-vizag/order,The Spicy Venue,4.4,₹200 for one,"Biryani, North Indian"
39,https://www.zomato.com/visakhapatnam/luq-food-plaza-dondaparithy-vizag/order,LUQ Food Plaza,3.6,₹200 for one,"Seafood, Fast Food"
40,https://www.zomato.com/visakhapatnam/abhiruchi-biryani-maddilapalem-vizag/order,Abhiruchi Biryani,3.8,₹200 for one,Biryani
41,https://www.zomato.com/visakhapatnam/mcdonalds-7-maddilapalem-vizag/order,McDonald's,4.3,₹200 for one,"Burger, Fast Food, Coffee, Beverages"
42,https://www.zomato.com/visakhapatnam/chickpet-donne-biryani-house-dwaraka-nagar-vizag/order,Chickpet Donne Biryani House,3.8,₹200 for one,"Biryani, North Indian, Seafood"
43,https://www.zomato.com/visakhapatnam/royal-rajasthan-restaurant-allipuram-vizag/order,Royal Rajasthan Restaurant,3.9,₹200 for one,North Indian
44,https://www.zomato.com/visakhapatnam/nic-ice-creams-allipuram-vizag/order,NIC Ice Creams,4.5,₹200 for one,"Ice Cream, Desserts"
45,https://www.zomato.com/visakhapatnam/jingle-bells-sagar-nagar-vizag/order,Jingle Bells,3.7,₹200 for one,"Chinese, Shake, Beverages"
46,https://www.zomato.com/visakhapatnam/cream-stone-ice-cream-siripuram-vizag/order,Cream Stone Ice Cream,4.1,₹200 for one,"Ice Cream, Desserts, Bakery, Shake"
47,https://www.zomato.com/visakhapatnam/lassi-shop-maharani-peta-vizag/order,Lassi Shop,4.1,₹200 for one,"Coffee, Beverages, Desserts, Ice Cream"
48,https://www.zomato.com/visakhapatnam/ganesh-parlour-allipuram-vizag/order,Ganesh Parlour,4.2,₹200 for one,"South Indian, Chinese"
49,https://www.zomato.com/visakhapatnam/jai-jaganath-restaurant-ram-nagar-vizag/order,Jai Jaganath Restaurant,4.0,₹200 for one,"Chinese, North Indian, Desserts"
50,https://www.zomato.com/visakhapatnam/grand-sri-sai-ram-parlour-dwaraka-nagar-vizag/order,Grand Sri Sai Ram Parlour,4.0,₹200 for one,"South Indian, Andhra"
51,https://www.zomato.com/visakhapatnam/tandoori-treats-1-siripuram-vizag/order,Tandoori Treats,3.2,₹200 for one,"North Indian, Biryani, Chinese"
52,https://www.zomato.com/visakhapatnam/gatox-natural-ice-cream-ram-nagar-vizag/order,Gatox Natural Ice Cream,4.6,₹200 for one,"Ice Cream, Beverages, Shake"
53,https://www.zomato.com/visakhapatnam/venkatadri-vantillu-asilmetta-vizag/order,Venkatadri Vantillu,4.4,₹200 for one,"South Indian, Shake, Juices"
54,https://www.zomato.com/visakhapatnam/hotel-maa-nethi-vindu-ram-nagar-vizag/order,Hotel Maa Nethi Vindu,4.4,₹200 for one,"South Indian, North Indian"
55,https://www.zomato.com/visakhapatnam/chutnees-dondaparithy-vizag/order,Chutnees,4.3,₹200 for one,"South Indian, North Indian, Andhra"
56,https://www.zomato.com/visakhapatnam/asha-family-restaurant-fast-foods-lawsons-bay-vizag/order,Asha Family Restaurant & Fast Foods,3.1,₹200 for one,"Biryani, Chinese, Seafood, Rolls, Mughlai, Sichuan, North Indian"
57,https://www.zomato.com/visakhapatnam/lucky-tiffins-mvp-colony-vizag/order,Lucky Tiffins,4.3,₹100 for one,South Indian
58,https://www.zomato.com/visakhapatnam/new-deepak-punjabi-dhaba-dwaraka-nagar-vizag/order,New Deepak Punjabi Dhaba,4.1,₹100 for one,"North Indian, Biryani, Kebab, Chinese, Seafood, Rolls"
59,https://www.zomato.com/visakhapatnam/bucket-biryani-1-balayya-sastri-layout-vizag/order,Bucket Biryani,3.5,₹100 for one,"Biryani, Chinese"
60,https://www.zomato.com/visakhapatnam/the-dessert-heaven-pure-veg-dwaraka-nagar-vizag/order,The Dessert Heaven - Pure Veg,4.3,₹100 for one,"Desserts, Bakery"
61,https://www.zomato.com/visakhapatnam/mr-little-idli-1-mvp-colony-vizag/order,Mr. Little Idli,4.1,₹100 for one,"South Indian, Street Food"
62,https://www.zomato.com/visakhapatnam/southern-foods-maddilapalem-vizag/order,Southern Foods,3.9,₹100 for one,"South Indian, North Indian, Biryani, Chinese, Mughlai, Sichuan, Kebab, Desserts"
63,https://www.zomato.com/visakhapatnam/kamat-take-away-in-mvp-colony-vizag/order,Kamat Take Away-In,3.2,₹100 for one,"Biryani, Chinese, North Indian, Sichuan"
64,https://www.zomato.com/visakhapatnam/grill-citi-lawsons-bay-vizag/order,Grill Citi,4.3,₹100 for one,"Shawarma, Kebab, North Indian"
65,https://www.zomato.com/visakhapatnam/reboot-dine-in-sagar-nagar-vizag/order,Reboot Dine In,3.7,₹100 for one,"North Indian, Biryani, Chinese, Seafood, Sichuan"
66,https://www.zomato.com/visakhapatnam/teenage-point-mvp-colony-vizag/order,Teenage Point,3.9,₹100 for one,"North Indian, Chinese, Biryani"
67,https://www.zomato.com/visakhapatnam/kalyani-mess-mvp-colony-vizag/order,Kalyani Mess,4.1,₹100 for one,"Biryani, South Indian, Mughlai"
68,https://www.zomato.com/visakhapatnam/red-pepper-family-restaurant-balayya-sastri-layout-vizag/order,Red Pepper Family Restaurant,3.4,₹100 for one,"North Indian, Biryani, Chinese, Sichuan"
69,https://www.zomato.com/visakhapatnam/cake-studio-dwaraka-nagar-vizag/order,Cake Studio,4.2,₹400 for one,Bakery
