,links,names,ratings,price for one,cuisine
60,https://www.zomato.com/visakhapatnam/southern-foods-maddilapalem-vizag/order,Southern Foods,3.9,₹100 for one,"South Indian, North Indian, Biryani, Chinese, Mughlai, Sichuan, Kebab, Desserts"
61,https://www.zomato.com/visakhapatnam/grill-citi-lawsons-bay-vizag/order,Grill Citi,4.3,₹100 for one,"Shawarma, Kebab, North Indian"
62,https://www.zomato.com/visakhapatnam/kamat-take-away-in-mvp-colony-vizag/order,Kamat Take Away-In,3.2,₹100 for one,"Biryani, Chinese, North Indian, Sichuan"
63,https://www.zomato.com/visakhapatnam/reboot-dine-in-sagar-nagar-vizag/order,Reboot Dine In,3.7,₹100 for one,"North Indian, Biryani, Chinese, Seafood, Sichuan"
64,https://www.zomato.com/visakhapatnam/cake-studio-dwaraka-nagar-vizag/order,Cake Studio,4.2,₹100 for one,Bakery
65,https://www.zomato.com/visakhapatnam/red-pepper-family-restaurant-balayya-sastri-layout-vizag/order,Red Pepper Family Restaurant,3.4,₹100 for one,"North Indian, Biryani, Chinese, Sichuan"
66,https://www.zomato.com/visakhapatnam/the-legendairy-milkshakes-maddilapalem-vizag/order,The Legendairy Milkshakes,4.5,₹100 for one,"Beverages, Shake"
67,https://www.zomato.com/visakhapatnam/naidu-gari-kunda-biryani-mvp-colony-vizag/order,Naidu Gari Kunda Biryani,3.8,₹100 for one,"Biryani, South Indian, North Indian, Chinese"
68,https://www.zomato.com/visakhapatnam/the-arabian-restaurant-marripalem-vizag/order,The Arabian Restaurant,3.5,₹100 for one,"Arabian, North Indian, Mandi, Biryani, Chinese"
69,https://www.zomato.com/visakhapatnam/cakesden-dwaraka-nagar-vizag/order,CakesDen,3.8,₹400 for one,Bakery
70,https://www.zomato.com/visakhapatnam/cake-shop-maddilapalem-vizag/order,Cake Shop,3.8,₹400 for one,"Bakery, Chinese, Sichuan, South Indian, North Indian, Biryani, Pizza, Fast Food"
71,https://www.zomato.com/visakhapatnam/dum-safar-biryani-by-barbeque-nation-siripuram-vizag/order,Dum Safar Biryani by Barbeque Nation,4.2,₹400 for one,"Biryani, North Indian, Kebab, BBQ, Beverages, Desserts"
72,https://www.zomato.com/visakhapatnam/creme-shakes-balayya-sastri-layout-vizag/order,Creme Shakes,4.1,₹400 for one,"Desserts, Waffle, Ice Cream, Shake, Beverages"
73,https://www.zomato.com/visakhapatnam/barbeque-nation-siripuram-vizag/order,Barbeque Nation,3.7,₹400 for one,"BBQ, North Indian, Biryani, Kebab, Continental, Chinese, Beverages, Desserts"
74,https://www.zomato.com/visakhapatnam/hyderabad-chorasta-biryani-dwaraka-nagar-vizag/order,Hyderabad Chorasta Biryani,3.3,₹400 for one,"Biryani, Chinese, North Indian"
75,https://www.zomato.com/visakhapatnam/dhaba-city-punjab-siripuram-vizag/order,Dhaba City Punjab,3.8,₹400 for one,"North Indian, Chinese"
76,https://www.zomato.com/visakhapatnam/food-pot-allipuram-vizag/order,Food Pot,4.0,₹400 for one,"North Indian, Seafood, Chinese, Biryani"
77,https://www.zomato.com/visakhapatnam/lunchbox-meals-and-thalis-dwaraka-nagar-vizag/order,LunchBox - Meals and Thalis,3.9,₹400 for one,North Indian
78,https://www.zomato.com/visakhapatnam/the-shawarma-co-mvp-colony-vizag/order,The Shawarma Co.,3.7,₹400 for one,"Lebanese, Fast Food, Shawarma"
79,https://www.zomato.com/visakhapatnam/yasoddha-food-express-mvp-colony-vizag/order,Yasoddha Food Express,3.9,₹400 for one,"Andhra, Chinese, Biryani, Seafood, Rolls, Street Food"
80,https://www.zomato.com/visakhapatnam/varuns-eat-maharani-peta-vizag/order,Varun's Eat,4.5,₹400 for one,"North Indian, South Indian, Chinese, Kebab, Biryani, Desserts, Shake, Beverages"
81,https://www.zomato.com/visakhapatnam/sri-siva-sai-good-foods-ram-nagar-vizag/order,Sri Siva Sai Good Foods,4.4,₹100 for one,South Indian
82,https://www.zomato.com/visakhapatnam/rizvi-dwaraka-nagar-vizag/order,Rizvi,4.2,₹100 for one,"Biryani, South Indian"
83,https://www.zomato.com/visakhapatnam/ubq-by-barbeque-nation-siripuram-vizag/order,UBQ by Barbeque Nation,3.7,₹100 for one,"BBQ, North Indian, Chinese, Street Food, Kebab, Beverages, Desserts"
84,https://www.zomato.com/visakhapatnam/jaipur-restaurant-1-allipuram-vizag/order,Jaipur Restaurant,3.9,₹100 for one,North Indian
85,https://www.zomato.com/visakhapatnam/kanhaji-family-restaurant-allipuram-vizag/order,Kanhaji Family Restaurant,4.1,₹100 for one,"North Indian, Chinese, Beverages"
86,https://www.zomato.com/visakhapatnam/swap-lawsons-bay-vizag/order,Swap,4.3,₹100 for one,Healthy Food
87,https://www.zomato.com/visakhapatnam/biryani-basket-akkayyapalem-vizag/order,Biryani Basket,3.5,₹100 for one,"Biryani, North Indian, Chinese, Rolls, Beverages"
88,https://www.zomato.com/visakhapatnam/haribabu-food-plaza-maddilapalem-vizag/order,Haribabu Food Plaza,3.2,₹100 for one,"Biryani, Chinese, South Indian, Sichuan"
89,https://www.zomato.com/visakhapatnam/reddys-food-court-maddilapalem-vizag/order,Reddy's Food Court,3.4,₹100 for one,"Chinese, Biryani, Fast Food, Rolls"
90,https://www.zomato.com/visakhapatnam/somaa-restobar-4-asilmetta-vizag/order,Somaa Restobar,4.1,₹100 for one,"Andhra, Biryani, Chinese, Continental, North Indian, Beverages"
91,https://www.zomato.com/visakhapatnam/sri-hari-hara-noodles-point-akkayyapalem-vizag/order,Sri Hari Hara Noodles Point,3.5,₹100 for one,"North Indian, Chinese, Rolls, Sichuan"
92,https://www.zomato.com/visakhapatnam/faasos-wraps-rolls-dwaraka-nagar-vizag/order,Faasos - Wraps & Rolls,4.1,₹100 for one,"Rolls, Wraps, North Indian"
93,https://www.zomato.com/visakhapatnam/biryanis-and-more-2-siripuram-vizag/order,Biryanis And More,4.1,₹400 for one,"Biryani, South Indian, Chinese, Andhra, Sichuan"
94,https://www.zomato.com/visakhapatnam/hotel-amrutham-veg-non-veg-maddilapalem-vizag/order,Hotel Amrutham Veg & Non Veg,3.3,₹400 for one,"Biryani, Chinese, Fast Food"
95,https://www.zomato.com/visakhapatnam/biryanis-lounge-dwaraka-nagar-vizag/order,Biryanis Lounge,4.3,₹400 for one,Biryani
96,https://www.zomato.com/visakhapatnam/the-desi-village-donne-biryani-vishalaksmi-nagar-vizag/order,The Desi Village - Donne Biryani,3.8,₹400 for one,"Biryani, Chinese, Andhra, Mughlai"
97,https://www.zomato.com/visakhapatnam/rasoi-nad-junction-vizag/order,Rasoi,4.0,₹400 for one,"Biryani, Chinese, North Indian, Mughlai, Seafood, Ice Cream"
98,https://www.zomato.com/visakhapatnam/sri-sai-chinese-restaurant-seethammadhara-vizag/order,Sri Sai Chinese Restaurant,3.3,₹400 for one,"Biryani, Chinese, Fast Food, Sichuan, Desserts"
99,https://www.zomato.com/visakhapatnam/burgerr-bundii-1-dwaraka-nagar-vizag/order,Burgerr Bundii,4.0,₹400 for one,"Burger, Fast Food, Beverages"
100,https://www.zomato.com/visakhapatnam/golden-alfa-biryanis-allipuram-vizag/order,Golden Alfa Biryani's,3.1,₹400 for one,"Biryani, North Indian"
101,https://www.zomato.com/visakhapatnam/abs-absolute-barbecues-dwaraka-nagar-vizag/order,AB's - Absolute Barbecues,3.5,₹400 for one,"Biryani, BBQ, Kebab, North Indian, Desserts"
102,https://www.zomato.com/visakhapatnam/8-2-8-chef-mvp-colony-vizag/order,8 - 2 - 8 Chef,3.9,₹400 for one,"Biryani, Chinese, North Indian"
103,https://www.zomato.com/visakhapatnam/ravis-kitchen-non-veg-restaurant-lawsons-bay-vizag/order,Ravi's Kitchen Non-Veg Restaurant,4.1,₹400 for one,"North Indian, Biryani, Continental, Seafood"
104,https://www.zomato.com/visakhapatnam/taste-well-jagadamba-junction-vizag/order,Taste Well,3.9,₹400 for one,"Biryani, Chinese"
105,https://www.zomato.com/visakhapatnam/ibaco-siripuram-vizag/order,ibaco,4.4,₹150 for one,Desserts
106,https://www.zomato.com/visakhapatnam/cafe-military-venkojipalem-vizag/order,Cafe Military,4.2,₹150 for one,"South Indian, Biryani, North Indian, Chinese, Seafood, Mughlai, Kebab"
107,https://www.zomato.com/visakhapatnam/kritunga-dwaraka-nagar-vizag/order,Kritunga,3.6,₹150 for one,"Biryani, North Indian"
108,https://www.zomato.com/visakhapatnam/andhra-spice-kitchen-akkayyapalem-vizag/order,Andhra Spice Kitchen,3.7,₹150 for one,"Chinese, South Indian, Biryani"
109,https://www.zomato.com/visakhapatnam/hotel-amaravati-allipuram-vizag/order,Hotel Amaravati,3.9,₹150 for one,"North Indian, South Indian, Mughlai, Seafood, Desserts, Beverages"
110,https://www.zomato.com/visakhapatnam/inavars-waltair-uplands-vizag/order,Inavars,4.2,₹150 for one,"Biryani, North Indian"
111,https://www.zomato.com/visakhapatnam/daspalla-executive-court-ram-nagar-vizag/order,Daspalla Executive Court,4.1,₹150 for one,"South Indian, North Indian, Chinese, Biryani, Seafood, Desserts, Beverages"
112,https://www.zomato.com/visakhapatnam/aruns-paradise-restaurant-mvp-colony-vizag/order,Arun's Paradise Restaurant,3.7,₹150 for one,"Chinese, Biryani, North Indian, Seafood, Mughlai"
113,https://www.zomato.com/visakhapatnam/fusion-foods-multicusine-family-restaurant-siripuram-vizag/order,Fusion Foods Multicusine Family Restaurant,4.0,₹150 for one,"Andhra, North Indian, Biryani, Chinese, Kebab, Desserts, Shake, Beverages"
114,https://www.zomato.com/visakhapatnam/kelvin-scale-natural-ice-creams-and-waffle-mvp-colony-vizag/order,Kelvin Scale - Natural Ice Creams And Waffle,4.3,₹150 for one,"Ice Cream, Waffle, Bakery, Shake"
115,https://www.zomato.com/visakhapatnam/baybee-chikizza-dwaraka-nagar-vizag/order,Baybee Chikizza,3.7,₹150 for one,"Pizza, Sandwich, Burger, Fast Food, Desserts, Shake, Beverages"
116,https://www.zomato.com/visakhapatnam/foodies-dine-dwaraka-nagar-vizag/order,Foodies Dine,4.2,₹150 for one,"Biryani, North Indian, Chinese, Mughlai, Seafood, Ice Cream, Shake"
117,https://www.zomato.com/visakhapatnam/behrouz-biryani-dwaraka-nagar-vizag/order,Behrouz Biryani,4.1,₹400 for one,"Biryani, Kebab, Hyderabadi, Lucknowi"
118,https://www.zomato.com/visakhapatnam/sri-chiru-food-court-akkayyapalem-vizag/order,Sri Chiru Food Court,3.2,₹400 for one,"Chinese, Sichuan"
119,https://www.zomato.com/visakhapatnam/waltair-kitchen-pl-grand-waltair-uplands-vizag/order,Waltair Kitchen - PL Grand,3.8,₹400 for one,"North Indian, Chinese, Continental, South Indian, Mughlai, Italian, Desserts, Beverages"
120,https://www.zomato.com/visakhapatnam/v-s-k-olive-seethammadhara-vizag/order,V.S.K Olive,3.6,₹400 for one,"Chinese, Rolls"
